Cryptocurrency,Date,Price,
BTC Close,02/10/2017,4409.31982421875,
BTC Close,03/10/2017,4317.47998046875,
BTC Close,04/10/2017,4229.35986328125,
BTC Close,05/10/2017,4328.41015625000,
BTC Close,06/10/2017,4370.81005859375,
BTC Close,07/10/2017,4426.89013671875,
BTC Close,08/10/2017,4610.47998046875,
BTC Close,09/10/2017,4772.02001953125,
BTC Close,10/10/2017,4781.99023437500,
BTC Close,11/10/2017,4826.47998046875,
BTC Close,12/10/2017,5446.91015625000,
BTC Close,13/10/2017,5647.20996093750,
BTC Close,14/10/2017,5831.79003906250,
BTC Close,15/10/2017,5678.18994140625,
BTC Close,16/10/2017,5725.58984375000,
BTC Close,17/10/2017,5605.50976562500,
BTC Close,18/10/2017,5590.68994140625,
BTC Close,19/10/2017,5708.52001953125,
BTC Close,20/10/2017,6011.45019531250,
BTC Close,21/10/2017,6031.60009765625,
BTC Close,22/10/2017,6008.41992187500,
BTC Close,23/10/2017,5930.31982421875,
BTC Close,24/10/2017,5526.64013671875,
BTC Close,25/10/2017,5750.79980468750,
BTC Close,26/10/2017,5904.83007812500,
BTC Close,27/10/2017,5780.89990234375,
BTC Close,28/10/2017,5753.08984375000,
BTC Close,29/10/2017,6153.85009765625,
BTC Close,30/10/2017,6130.52978515625,
BTC Close,31/10/2017,6468.39990234375,
BTC Close,01/11/2017,6767.31005859375,
BTC Close,02/11/2017,7078.50000000000,
BTC Close,03/11/2017,7207.75976562500,
BTC Close,04/11/2017,7379.95019531250,
BTC Close,05/11/2017,7407.41015625000,
BTC Close,06/11/2017,7022.75976562500,
BTC Close,07/11/2017,7144.37988281250,
BTC Close,08/11/2017,7459.68994140625,
BTC Close,09/11/2017,7143.58007812500,
BTC Close,10/11/2017,6618.14013671875,
BTC Close,11/11/2017,6357.60009765625,
BTC Close,12/11/2017,5950.06982421875,
BTC Close,13/11/2017,6559.49023437500,
BTC Close,14/11/2017,6635.75000000000,
BTC Close,15/11/2017,7315.54003906250,
BTC Close,16/11/2017,7871.68994140625,
BTC Close,17/11/2017,7708.99023437500,
BTC Close,18/11/2017,7790.14990234375,
BTC Close,19/11/2017,8036.49023437500,
BTC Close,20/11/2017,8200.63964843750,
BTC Close,21/11/2017,8071.25976562500,
BTC Close,22/11/2017,8253.54980468750,
BTC Close,23/11/2017,8038.77001953125,
BTC Close,24/11/2017,8253.69042968750,
BTC Close,25/11/2017,8790.91992187500,
BTC Close,26/11/2017,9330.54980468750,
BTC Close,27/11/2017,9818.34960937500,
BTC Close,28/11/2017,10058.79980468750,
BTC Close,29/11/2017,9888.61035156250,
BTC Close,30/11/2017,10233.59960937500,
BTC Close,01/12/2017,10975.59960937500,
BTC Close,02/12/2017,11074.59960937500,
BTC Close,03/12/2017,11323.20019531250,
BTC Close,04/12/2017,11657.20019531250,
BTC Close,05/12/2017,11916.70019531250,
BTC Close,06/12/2017,14291.50000000000,
BTC Close,07/12/2017,17899.69921875000,
BTC Close,08/12/2017,16569.40039062500,
BTC Close,09/12/2017,15178.20019531250,
BTC Close,10/12/2017,15455.40039062500,
BTC Close,11/12/2017,16936.80078125000,
BTC Close,12/12/2017,17415.40039062500,
BTC Close,13/12/2017,16408.19921875000,
BTC Close,14/12/2017,16564.00000000000,
BTC Close,15/12/2017,17706.90039062500,
BTC Close,16/12/2017,19497.40039062500,
BTC Close,17/12/2017,19140.80078125000,
BTC Close,18/12/2017,19114.19921875000,
BTC Close,19/12/2017,17776.69921875000,
BTC Close,20/12/2017,16624.59960937500,
BTC Close,21/12/2017,15802.90039062500,
BTC Close,22/12/2017,13831.79980468750,
BTC Close,23/12/2017,14699.20019531250,
BTC Close,24/12/2017,13925.79980468750,
BTC Close,25/12/2017,14026.59960937500,
BTC Close,26/12/2017,16099.79980468750,
BTC Close,27/12/2017,15838.50000000000,
BTC Close,28/12/2017,14606.50000000000,
BTC Close,29/12/2017,14656.20019531250,
BTC Close,30/12/2017,12952.20019531250,
BTC Close,31/12/2017,14156.40039062500,
BTC Close,01/01/2018,13657.20019531250,
BTC Close,02/01/2018,14982.09960937500,
BTC Close,03/01/2018,15201.00000000000,
BTC Close,04/01/2018,15599.20019531250,
BTC Close,05/01/2018,17429.50000000000,
BTC Close,06/01/2018,17527.00000000000,
BTC Close,07/01/2018,16477.59960937500,
BTC Close,08/01/2018,15170.09960937500,
BTC Close,09/01/2018,14595.40039062500,
BTC Close,10/01/2018,14973.29980468750,
BTC Close,11/01/2018,13405.79980468750,
BTC Close,12/01/2018,13980.59960937500,
BTC Close,13/01/2018,14360.20019531250,
BTC Close,14/01/2018,13772.00000000000,
BTC Close,15/01/2018,13819.79980468750,
BTC Close,16/01/2018,11490.50000000000,
BTC Close,17/01/2018,11188.59960937500,
BTC Close,18/01/2018,11474.90039062500,
BTC Close,19/01/2018,11607.40039062500,
BTC Close,20/01/2018,12899.20019531250,
BTC Close,21/01/2018,11600.09960937500,
BTC Close,22/01/2018,10931.40039062500,
BTC Close,23/01/2018,10868.40039062500,
BTC Close,24/01/2018,11359.40039062500,
BTC Close,25/01/2018,11259.40039062500,
BTC Close,26/01/2018,11171.40039062500,
BTC Close,27/01/2018,11440.70019531250,
BTC Close,28/01/2018,11786.29980468750,
BTC Close,29/01/2018,11296.40039062500,
BTC Close,30/01/2018,10106.29980468750,
BTC Close,31/01/2018,10221.09960937500,
BTC Close,01/02/2018,9170.54003906250,
BTC Close,02/02/2018,8830.75000000000,
BTC Close,03/02/2018,9174.91015625000,
BTC Close,04/02/2018,8277.00976562500,
BTC Close,05/02/2018,6955.27001953125,
BTC Close,06/02/2018,7754.00000000000,
BTC Close,07/02/2018,7621.29980468750,
BTC Close,08/02/2018,8265.58984375000,
BTC Close,09/02/2018,8736.98046875000,
BTC Close,10/02/2018,8621.90039062500,
BTC Close,11/02/2018,8129.97021484375,
BTC Close,12/02/2018,8926.57031250000,
BTC Close,13/02/2018,8598.30957031250,
BTC Close,14/02/2018,9494.62988281250,
BTC Close,15/02/2018,10166.40039062500,
BTC Close,16/02/2018,10233.90039062500,
BTC Close,17/02/2018,11112.70019531250,
BTC Close,18/02/2018,10551.79980468750,
BTC Close,19/02/2018,11225.29980468750,
BTC Close,20/02/2018,11403.70019531250,
BTC Close,21/02/2018,10690.40039062500,
BTC Close,22/02/2018,10005.00000000000,
BTC Close,23/02/2018,10301.09960937500,
BTC Close,24/02/2018,9813.07031250000,
BTC Close,25/02/2018,9664.73046875000,
BTC Close,26/02/2018,10366.70019531250,
BTC Close,27/02/2018,10725.59960937500,
BTC Close,28/02/2018,10397.90039062500,
BTC Close,01/03/2018,10951.00000000000,
BTC Close,02/03/2018,11086.40039062500,
BTC Close,03/03/2018,11489.70019531250,
BTC Close,04/03/2018,11512.59960937500,
BTC Close,05/03/2018,11573.29980468750,
BTC Close,06/03/2018,10779.90039062500,
BTC Close,07/03/2018,9965.57031250000,
BTC Close,08/03/2018,9395.00976562500,
BTC Close,09/03/2018,9337.54980468750,
BTC Close,10/03/2018,8866.00000000000,
BTC Close,11/03/2018,9578.62988281250,
BTC Close,12/03/2018,9205.12011718750,
BTC Close,13/03/2018,9194.84960937500,
BTC Close,14/03/2018,8269.80957031250,
BTC Close,15/03/2018,8300.86035156250,
BTC Close,16/03/2018,8338.34960937500,
BTC Close,17/03/2018,7916.87988281250,
BTC Close,18/03/2018,8223.67968750000,
BTC Close,19/03/2018,8630.65039062500,
BTC Close,20/03/2018,8913.46972656250,
BTC Close,21/03/2018,8929.28027343750,
BTC Close,22/03/2018,8728.46972656250,
BTC Close,23/03/2018,8879.62011718750,
BTC Close,24/03/2018,8668.12011718750,
BTC Close,25/03/2018,8495.78027343750,
BTC Close,26/03/2018,8209.40039062500,
BTC Close,27/03/2018,7833.04003906250,
BTC Close,28/03/2018,7954.47998046875,
BTC Close,29/03/2018,7165.70019531250,
BTC Close,30/03/2018,6890.52001953125,
BTC Close,31/03/2018,6973.52978515625,
BTC Close,01/04/2018,6844.22998046875,
BTC Close,02/04/2018,7083.79980468750,
BTC Close,03/04/2018,7456.10986328125,
BTC Close,04/04/2018,6853.83984375000,
BTC Close,05/04/2018,6811.47021484375,
BTC Close,06/04/2018,6636.31982421875,
BTC Close,07/04/2018,6911.08984375000,
BTC Close,08/04/2018,7023.52001953125,
BTC Close,09/04/2018,6770.72998046875,
BTC Close,10/04/2018,6834.75976562500,
BTC Close,11/04/2018,6968.31982421875,
BTC Close,12/04/2018,7889.25000000000,
BTC Close,13/04/2018,7895.95996093750,
BTC Close,14/04/2018,7986.24023437500,
BTC Close,15/04/2018,8329.11035156250,
BTC Close,16/04/2018,8058.66992187500,
BTC Close,17/04/2018,7902.08984375000,
BTC Close,18/04/2018,8163.41992187500,
BTC Close,19/04/2018,8294.30957031250,
BTC Close,20/04/2018,8845.83007812500,
BTC Close,21/04/2018,8895.58007812500,
BTC Close,22/04/2018,8802.45996093750,
BTC Close,23/04/2018,8930.87988281250,
BTC Close,24/04/2018,9697.50000000000,
BTC Close,25/04/2018,8845.74023437500,
BTC Close,26/04/2018,9281.50976562500,
BTC Close,27/04/2018,8987.04980468750,
BTC Close,28/04/2018,9348.48046875000,
BTC Close,29/04/2018,9419.08007812500,
BTC Close,30/04/2018,9240.54980468750,
BTC Close,01/05/2018,9119.00976562500,
BTC Close,02/05/2018,9235.91992187500,
BTC Close,03/05/2018,9743.86035156250,
BTC Close,04/05/2018,9700.75976562500,
BTC Close,05/05/2018,9858.15039062500,
BTC Close,06/05/2018,9654.79980468750,
BTC Close,07/05/2018,9373.00976562500,
BTC Close,08/05/2018,9234.82031250000,
BTC Close,09/05/2018,9325.17968750000,
BTC Close,10/05/2018,9043.94042968750,
BTC Close,11/05/2018,8441.49023437500,
BTC Close,12/05/2018,8504.88964843750,
BTC Close,13/05/2018,8723.94042968750,
BTC Close,14/05/2018,8716.79003906250,
BTC Close,15/05/2018,8510.37988281250,
BTC Close,16/05/2018,8368.83007812500,
BTC Close,17/05/2018,8094.31982421875,
BTC Close,18/05/2018,8250.96972656250,
BTC Close,19/05/2018,8247.17968750000,
BTC Close,20/05/2018,8513.25000000000,
BTC Close,21/05/2018,8418.99023437500,
BTC Close,22/05/2018,8041.77978515625,
BTC Close,23/05/2018,7557.81982421875,
BTC Close,24/05/2018,7587.33984375000,
BTC Close,25/05/2018,7480.14013671875,
BTC Close,26/05/2018,7355.87988281250,
BTC Close,27/05/2018,7368.22021484375,
BTC Close,28/05/2018,7135.99023437500,
BTC Close,29/05/2018,7472.58984375000,
BTC Close,30/05/2018,7406.52001953125,
BTC Close,31/05/2018,7494.16992187500,
BTC Close,01/06/2018,7541.45019531250,
BTC Close,02/06/2018,7643.45019531250,
BTC Close,03/06/2018,7720.25000000000,
BTC Close,04/06/2018,7514.47021484375,
BTC Close,05/06/2018,7633.75976562500,
BTC Close,06/06/2018,7653.97998046875,
BTC Close,07/06/2018,7678.24023437500,
BTC Close,08/06/2018,7624.91992187500,
BTC Close,09/06/2018,7531.97998046875,
BTC Close,10/06/2018,6786.02001953125,
BTC Close,11/06/2018,6906.91992187500,
BTC Close,12/06/2018,6582.35986328125,
BTC Close,13/06/2018,6349.89990234375,
BTC Close,14/06/2018,6675.35009765625,
BTC Close,15/06/2018,6456.58007812500,
BTC Close,16/06/2018,6550.16015625000,
BTC Close,17/06/2018,6499.27001953125,
BTC Close,18/06/2018,6734.81982421875,
BTC Close,19/06/2018,6769.93994140625,
BTC Close,20/06/2018,6776.54980468750,
BTC Close,21/06/2018,6729.74023437500,
BTC Close,22/06/2018,6083.68994140625,
BTC Close,23/06/2018,6162.47998046875,
BTC Close,24/06/2018,6173.22998046875,
BTC Close,25/06/2018,6249.18017578125,
BTC Close,26/06/2018,6093.66992187500,
BTC Close,27/06/2018,6157.12988281250,
BTC Close,28/06/2018,5903.43994140625,
BTC Close,29/06/2018,6218.29980468750,
BTC Close,30/06/2018,6404.00000000000,
BTC Close,01/07/2018,6385.81982421875,
BTC Close,02/07/2018,6614.18017578125,
BTC Close,03/07/2018,6529.58984375000,
BTC Close,04/07/2018,6597.54980468750,
BTC Close,05/07/2018,6639.14013671875,
BTC Close,06/07/2018,6673.50000000000,
BTC Close,07/07/2018,6856.93017578125,
BTC Close,08/07/2018,6773.87988281250,
BTC Close,09/07/2018,6741.75000000000,
BTC Close,10/07/2018,6329.95019531250,
BTC Close,11/07/2018,6394.70996093750,
BTC Close,12/07/2018,6228.81005859375,
BTC Close,13/07/2018,6238.04980468750,
BTC Close,14/07/2018,6276.12011718750,
BTC Close,15/07/2018,6359.64013671875,
BTC Close,16/07/2018,6741.75000000000,
BTC Close,17/07/2018,7321.04003906250,
BTC Close,18/07/2018,7370.77978515625,
BTC Close,19/07/2018,7466.85986328125,
BTC Close,20/07/2018,7354.12988281250,
BTC Close,21/07/2018,7419.29003906250,
BTC Close,22/07/2018,7418.49023437500,
BTC Close,23/07/2018,7711.10986328125,
BTC Close,24/07/2018,8424.26953125000,
BTC Close,25/07/2018,8181.39013671875,
BTC Close,26/07/2018,7951.58007812500,
BTC Close,27/07/2018,8165.00976562500,
BTC Close,28/07/2018,8192.15039062500,
BTC Close,29/07/2018,8218.45996093750,
BTC Close,30/07/2018,8180.48000000000,
BTC Close,31/07/2018,7780.44000000000,
BTC Close,01/08/2018,7624.91000000000,
BTC Close,02/08/2018,7567.15000000000,
BTC Close,03/08/2018,7434.39000000000,
BTC Close,04/08/2018,7032.85000000000,
BTC Close,05/08/2018,7068.48000000000,
BTC Close,06/08/2018,6951.80000000000,
BTC Close,07/08/2018,6753.12000000000,
BTC Close,08/08/2018,6305.80000000000,
BTC Close,09/08/2018,6568.23000000000,
BTC Close,10/08/2018,6184.71000000000,
BTC Close,11/08/2018,6295.73000000000,
BTC Close,12/08/2018,6322.69000000000,
BTC Close,13/08/2018,6297.57000000000,
BTC Close,14/08/2018,6199.71000000000,
BTC Close,15/08/2018,6308.52000000000,
BTC Close,16/08/2018,6334.73000000000,
BTC Close,17/08/2018,6580.63000000000,
BTC Close,18/08/2018,6423.76000000000,
BTC Close,19/08/2018,6506.07000000000,
BTC Close,20/08/2018,6308.53000000000,
BTC Close,21/08/2018,6488.76000000000,
BTC Close,22/08/2018,6376.71000000000,
BTC Close,23/08/2018,6534.88000000000,
BTC Close,24/08/2018,6719.96000000000,
BTC Close,25/08/2018,6763.19000000000,
BTC Close,26/08/2018,6707.26000000000,
BTC Close,27/08/2018,6884.64000000000,
BTC Close,28/08/2018,7096.28000000000,
BTC Close,29/08/2018,7047.16000000000,
BTC Close,30/08/2018,6978.23000000000,
BTC Close,31/08/2018,7037.58000000000,
BTC Close,01/09/2018,7193.25000000000,
BTC Close,02/09/2018,7272.72000000000,
BTC Close,03/09/2018,7260.06000000000,
BTC Close,04/09/2018,7361.66000000000,
BTC Close,05/09/2018,6792.83000000000,
BTC Close,06/09/2018,6529.17000000000,
BTC Close,07/09/2018,6467.07000000000,
BTC Close,08/09/2018,6225.98000000000,
BTC Close,09/09/2018,6300.86000000000,
BTC Close,10/09/2018,6329.70000000000,
BTC Close,11/09/2018,6321.20000000000,
BTC Close,12/09/2018,6351.80000000000,
BTC Close,13/09/2018,6517.31000000000,
BTC Close,14/09/2018,6512.71000000000,
BTC Close,15/09/2018,6543.20000000000,
BTC Close,16/09/2018,6517.18000000000,
BTC Close,17/09/2018,6281.20000000000,
BTC Close,18/09/2018,6371.30000000000,
BTC Close,19/09/2018,6398.54000000000,
BTC Close,20/09/2018,6519.67000000000,
BTC Close,21/09/2018,6734.95000000000,
BTC Close,22/09/2018,6721.98000000000,
BTC Close,23/09/2018,6710.63000000000,
BTC Close,24/09/2018,6595.41000000000,
BTC Close,25/09/2018,6446.47000000000,
BTC Close,26/09/2018,6495.00000000000,
BTC Close,27/09/2018,6676.75000000000,
BTC Close,28/09/2018,6644.13000000000,
BTC Close,29/09/2018,6601.96000000000,
BTC Close,30/09/2018,6625.56000000000,
BTC Close,01/10/2018,6589.62000000000,
BTC Close,02/10/2018,6556.10000000000,
BTC Close,03/10/2018,6502.59000000000,
BTC Close,04/10/2018,6576.69000000000,
BTC Close,05/10/2018,6622.48000000000,
BTC Close,06/10/2018,6588.31000000000,
BTC Close,07/10/2018,6602.95000000000,
BTC Close,08/10/2018,6652.23000000000,
BTC Close,09/10/2018,6642.64000000000,
BTC Close,10/10/2018,6585.53000000000,
BTC Close,11/10/2018,6256.24000000000,
BTC Close,12/10/2018,6274.58000000000,
BTC Close,13/10/2018,6285.99000000000,
BTC Close,14/10/2018,6290.93000000000,
BTC Close,15/10/2018,6596.54000000000,
