,Name,Market Cap,Price,Circulating Supply,Symbol,Circulating Supple
0,,88301129602951,4670701,"18,905,325",,18905325
1,,46603760437856,392259,"118,808,565",,118808565
2,,8839994078977,52997,"166,801,148",,166801148
3,,7628898207753,1,"76,289,909,012",,76289909012
4,,5549068484885,18010,"308,113,743",,308113743
5,,4251701262967,124,"34,159,510,418",,34159510418
6,,4206188536557,09999,"42,066,799,177",,42066799177
7,,3945305981078,0835,"47,247,295,769",,47247295769
8,,2925963959493,7823,"374,040,100",,374040100
9,,2618506758988,10767,"243,188,891",,243188891
10,,2448347349675,2479,"987,579,315",,987579315
11,,2248408790596,01696,"132,589,974,327",,132589974327
12,,1690609591560,000003079,"549,057,307,872,741",,549057307872741
13,,1573717317250,222,"7,081,682,963",,7081682963
