Cryptocurrency,Date,Price
Bitcoin,02/10/2017,4409.31982421875
Bitcoin,03/10/2017,4317.47998046875
Bitcoin,04/10/2017,4229.35986328125
Bitcoin,05/10/2017,4328.41015625000
Bitcoin,06/10/2017,4370.81005859375
Bitcoin,07/10/2017,4426.89013671875
Bitcoin,08/10/2017,4610.47998046875
Bitcoin,09/10/2017,4772.02001953125
Bitcoin,10/10/2017,4781.99023437500
Bitcoin,11/10/2017,4826.47998046875
Bitcoin,12/10/2017,5446.91015625000
Bitcoin,13/10/2017,5647.20996093750
Bitcoin,14/10/2017,5831.79003906250
Bitcoin,15/10/2017,5678.18994140625
Bitcoin,16/10/2017,5725.58984375000
Bitcoin,17/10/2017,5605.50976562500
Bitcoin,18/10/2017,5590.68994140625
Bitcoin,19/10/2017,5708.52001953125
Bitcoin,20/10/2017,6011.45019531250
Bitcoin,21/10/2017,6031.60009765625
Bitcoin,22/10/2017,6008.41992187500
Bitcoin,23/10/2017,5930.31982421875
Bitcoin,24/10/2017,5526.64013671875
Bitcoin,25/10/2017,5750.79980468750
Bitcoin,26/10/2017,5904.83007812500
Bitcoin,27/10/2017,5780.89990234375
Bitcoin,28/10/2017,5753.08984375000
Bitcoin,29/10/2017,6153.85009765625
Bitcoin,30/10/2017,6130.52978515625
Bitcoin,31/10/2017,6468.39990234375
Bitcoin,01/11/2017,6767.31005859375
Bitcoin,02/11/2017,7078.50000000000
Bitcoin,03/11/2017,7207.75976562500
Bitcoin,04/11/2017,7379.95019531250
Bitcoin,05/11/2017,7407.41015625000
Bitcoin,06/11/2017,7022.75976562500
Bitcoin,07/11/2017,7144.37988281250
Bitcoin,08/11/2017,7459.68994140625
Bitcoin,09/11/2017,7143.58007812500
Bitcoin,10/11/2017,6618.14013671875
Bitcoin,11/11/2017,6357.60009765625
Bitcoin,12/11/2017,5950.06982421875
Bitcoin,13/11/2017,6559.49023437500
Bitcoin,14/11/2017,6635.75000000000
Bitcoin,15/11/2017,7315.54003906250
Bitcoin,16/11/2017,7871.68994140625
Bitcoin,17/11/2017,7708.99023437500
Bitcoin,18/11/2017,7790.14990234375
Bitcoin,19/11/2017,8036.49023437500
Bitcoin,20/11/2017,8200.63964843750
Bitcoin,21/11/2017,8071.25976562500
Bitcoin,22/11/2017,8253.54980468750
Bitcoin,23/11/2017,8038.77001953125
Bitcoin,24/11/2017,8253.69042968750
Bitcoin,25/11/2017,8790.91992187500
Bitcoin,26/11/2017,9330.54980468750
Bitcoin,27/11/2017,9818.34960937500
Bitcoin,28/11/2017,10058.79980468750
Bitcoin,29/11/2017,9888.61035156250
Bitcoin,30/11/2017,10233.59960937500
Bitcoin,01/12/2017,10975.59960937500
Bitcoin,02/12/2017,11074.59960937500
