Year,Population
1855,2978065
1856,2995771
1857,3012310
1858,3027665
1859,3041812
1860,3054738
1861,3069403
1862,3098008
1863,3126879
1864,3156023
1865,3185439
1866,3215130
1867,3245101
1868,3275353
1869,3305889
1870,3336712
1871,3368926
1872,3404799
1873,3441057
1874,3477704
1875,3514744
1876,3552182
1877,3590021
1878,3628268
1879,3666923
1880,3705994
1881,3742564
1882,3770656
1883,3798961
1884,3827476
1885,3856207
1886,3885154
1887,3914318
1888,3943701
1889,3973304
1890,4003131
1891,4036245
1892,4078910
1893,4122029
1894,4165606
1895,4209645
1896,4254153
1897,4299132
1898,4344589
1899,4390530
1900,4436958
1901,4479104
1902,4507220
1903,4535513
1904,4563985
1905,4592636
1906,4621466
1907,4650478
1908,4679671
1909,4709048
1910,4738611
1911,4751132
1912,4741477
1913,4728932
1914,4748167
1915,4771798
1916,4794662
1917,4812829
1918,4821679
1919,4822993
1920,4866866
1921,4882497
1922,4897980
1923,4888148
1924,4862210
1925,4867129
1926,4864259
1927,4853098
1928,4847851
1929,4832226
1930,4828004
1931,4842980
1932,4883069
1933,4912379
1934,4934291
1935,4952510
1936,4966302
1937,4976610
1938,4993126
1939,5006687
1940,4841241
1941,4819396
1942,4750995
1943,4661587
1944,4653645
1945,4673931
1946,4900761
1947,5072254
1948,5084894
1949,5098922
1950,5114513
1951,5102458
1952,5100847
1953,5099809
1954,5103632
1955,5111338
1956,5119937
1957,5124688
1958,5141155
1959,5162622
1960,5177658
1961,5183836
1962,5197528
1963,5205100
1964,5208500
1965,5209900
1966,5200600
1967,5198300
1968,5200200
1969,5208500
1970,5213700
1971,5235600
1972,5230600
1973,5233900
1974,5240800
1975,5232400
1976,5233400
1977,5226200
1978,5212300
1979,5203600
1980,5193900
1981,5180200
1982,5164540
1983,5148120
1984,5138880
1985,5127890
1986,5111760
1987,5099020
1988,5077440
1989,5078190
1990,5081270
1991,5083330
1992,5085620
1993,5092460
1994,5102210
1995,5103690
1996,5092190
1997,5083340
1998,5077070
1999,5071950
2000,5062940
2001,5064200
2002,5066000
2003,5068500
2004,5084300
2005,5110200
2006,5133000
2007,5170000
2008,5202900
2009,5231900
2010,5262200
2011,5299900
2012,5313600
2013,5327700
2014,5347600
2015,5373000
2016,5404700
2017,5424800
2018,5438100
2019,5463300
2020,5466000
