,Name,Market Cap,Price,Circulating Supply,Symbol
0,Bitcoin,88301129602951,4670701,18905325,BTC
1,Ethereum,46603760437856,392259,118808565,ETH
2,Binance Coin,8839994078977,52997,166801148,BNB
3,Tether,7628898207753,1,76289909012,USDT
4,Solana,5549068484885,18010,308113743,SOL
5,Cardano,4251701262967,124,34159510418,ADA
6,USD Coin,4206188536557,09999,42066799177,USDC
7,XRP,3945305981078,0835,47247295769,XRP
8,Terra,2925963959493,7823,374040100,LUNA
9,Avalanche,2618506758988,10767,243188891,AVAX
10,Polkadot,2448347349675,2479,987579315,DOT
11,Dogecoin,2248408790596,01696,132589974327,DOGE
12,SHIBA INU,1690609591560,000003079,549057307872741,SHIB
13,Polygon,1573717317250,222,7081682963,MATIC
